Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
21,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,23,1997,37,0,0,0,0,0,0,1,0,1,6,2,33.3,6,0,0,0,0,0,0,0,0,0,0
22,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,25,1994,35.7,50,25,35,12,3,20,40,50,20,342,119,34.8,163,107,72,51,2,0,49,39,89,89,1
23,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,15,11,7,6,2,7,13,53.8,6,79,34,43,41,32,6,16,4,0,12,8,23,42,0
24,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,31,1989,26.8,64,46,30,26,8,21,85,24.7,64,459,128,27.9,166,220,73,60,10,0,50,92,156,46,0
25,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,78,53,25,44,9,16,35,45.7,19,365,123,33.7,116,197,52,26,3,0,23,28,106,25,0
26,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,25,1995,13.3,10,7,2,6,2,3,7,42.9,4,228,49,21.5,12,98,118,7,1,0,6,3,13,6,0
27,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,18,2002,1.8,6,3,6,0,0,2,3,66.7,1,33,8,24.2,25,7,1,7,3,0,4,1,7,7,0
28,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,26,1993,12.7,20,11,15,4,1,6,10,60,4,165,66,40,105,52,8,16,7,0,9,24,44,74,0
29,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,26,1993,10.2,13,8,7,6,0,4,10,40,6,143,41,28.7,86,49,8,31,14,0,17,18,31,55,1
30,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,25,1994,30.7,40,29,15,17,8,12,47,25.5,35,535,149,27.9,128,270,137,47,9,0,38,18,58,40,1
